question,positive_node_id
ফ্যানেরোগ্যামস (phanerogams) ও ক্রিপ্টোগ্যামস (cryptogams) বলতে কী বোঝায়?,0
"শৈবাল ও ছত্রাককে ""লোয়ার ক্রিপ্টোগ্যামস"" আর ব্রায়োফাইটা/টেরিডোফাইটাকে ""হায়ার ক্রিপ্টোগ্যামস"" বলা হয় কেন?",0
ব্রায়োফাইটা ও টেরিডোফাইটার বাহ্যিক মৌলিক পার্থক্য কী ?,0
থ্যালোফাইটা ও টেরিডোফাইটার মধ্যে সংযোগসৃষ্টিকারী মধ্যবর্তী গ্রুপ কোনটি? কেন?,0
'Bryophyta' শব্দটির উৎপত্তি কী (Bryon ও phyton) এবং এর অর্থ কী?,1
স্থলজ ব্রায়োফাইটেরও নিষেকক্রিয়া সম্পন্ন করতে পানির প্রয়োজন হয়—এ কারণে ব্রায়োফাইটাকে কী বলা হয়?,1
ব্রায়োফাইটে প্রধান উদ্ভিদদেহ কোন জনু এবং এটি হ্যাপ্লয়েড না ডিপ্লয়েড?,2
ব্রায়োফাইটে দেহ থ্যালয়েড বলতে কী বোঝায়?,2
ব্রায়োফাইটে মূলের পরিবর্তে কী থাকে?,2
ব্রায়োফাইটে দেহ প্রধানত কোন টিস্যু দিয়ে গঠিত?,2
ব্রায়োফাইটে স্ত্রীজননাঙ্গ ও পুংজননাঙ্গের নাম কী এবং আর্কিগোনিয়ামের আকৃতি কেমন?,2
ব্রায়োফাইটের জীবনচক্রে কোন পর্যায় প্রধান এবং স্পোরোফাইট গ্যামিটোফাইটের ওপর কেমন নির্ভরশীল থাকে?,2
ব্রায়োফাইটা বিভাগের উদ্ভিদসমূহকে কোন তিনটি শ্রেণিতে বিন্যস্ত করা হয়েছে?,3
ব্রায়োফাইটা নামটি কোন দুটি গ্রিক শব্দ থেকে এসেছে এবং তাদের অর্থ কী?,3
ব্রায়োফাইটের আদি বৈশিষ্ট্যগুলো লিখ।,4
অ্যান্থোসিরোটি (Anthocerotae) শ্রেণির উদ্ভিদে উল্লেখিত উন্নত বৈশিষ্ট্যগুলো কী কী?,5
ব্রায়োফাইটাকে উভচর (amphibious) উদ্ভিদ বলা হয় কেন? যৌন জননে পানির ভূমিকা উল্লেখ কর।,6
ব্রায়োফাইটের শুক্রাণু কীভাবে ডিম্বাণুর কাছে পৌঁছে নিষেক ঘটায়?,6
ব্রায়োফাইটে জলজ উদ্ভিদের মতো কোন বৈশিষ্ট্য দেখা যায় ?,6
Riccia কোন শ্রেণির অন্তর্গত এবং Hepaticae সদস্যদের 'লিভারওয়ার্ট' বলা হয় কেন?,7
Riccia গণে আনুমানিক কতটি প্রজাতি আছে এবং এর মধ্যে কোনটি ভাসমান জলজ?,7
বাংলাদেশে Riccia গণের কতটি প্রজাতি শনাক্ত করা হয়েছে? নতুন প্রজাতির নাম থেকে যে কোনো দুইটি লিখ।,7
Riccia গণের প্রজাতিগুলো সাধারণত কোন কোন স্থানে জন্মায়? (কমপক্ষে ৩টি আবাসস্থল লিখ),8
Riccia fluitans কোথায় এবং কী অবস্থায় দেখা যায়? কোন ঋতুতে Riccia বেশি জন্মায়?,8
Riccia-এর শ্রেণিবিন্যাস Kingdom থেকে Genus পর্যন্ত ক্রমানুসারে লিখ।,9
Riccia থ্যালাসের শাখাবিন্যাস কেমন এবং শাখার শীর্ষে কী বিশেষ বৈশিষ্ট্য থাকে?,10
Riccia থ্যালাসের নিম্নপৃষ্ঠে রাইজয়েড কয় ধরনের এবং সাথে আর কী গঠন থাকে?,10
Riccia থ্যালাসের অভ্যন্তরীণ টিস্যু ওপরের দিকে কোন অঞ্চল এবং নিচের দিকে কোন অঞ্চলে বিভক্ত থাকে?,10
Riccia-তে স্পোরোফাইটিক দশা কেমন এবং 'হোমোস্পোরাস' কথার মানে কী?,10
Riccia থ্যালাসগুলো একত্রে গোলাপের পাপড়ির মতো গোলাকার চক্র করে থাকলে সেই অবস্থাকে কী বলা হয়?,11
Riccia থ্যালাসের ওপর পৃষ্ঠে যে লম্বালম্বি খাঁজ থাকে তার নাম কী?,11
Riccia-র স্কেল ও রাইজয়েডের কাজ কী ?,11
Riccia-র স্পোরোফাইটকে 'সর্বাপেক্ষা সরল' বলা হয় কেন—এটি কী দিয়ে গঠিত এবং কোথায় অবস্থান করে?,11
Riccia থ্যালাসের প্রন্থচ্ছেদে কোন তিনটি প্রধান অঞ্চল দেখা যায়?,12
Riccia-র আত্তীকরণ (photosynthetic) অঞ্চলে 'আত্তীকরণ সূত্র' (assimilatory filament) কী কাজ করে?,12
Riccia-র 'বায়ু প্রকোষ্ঠ' (air chamber) বাইরের সাথে কোন পথে যুক্ত থাকে এবং সেই ছিদ্রপথের নাম কী?,12
Riccia-র সঞ্চয়ী (storage) অঞ্চলের কোষগুলো কেমন এবং সেখানে প্রধানত কী সঞ্চিত থাকে?,12
Riccia-র নিম্নত্বক থেকে কী কী গঠন বের হয় এবং রাইজয়েড কয় ধরনের?,12
Riccia-তে থ্যালাসের পেছনের অংশ মরে গেলে অঙ্গজ জনন কীভাবে ঘটে?,13
Riccia-র অঙ্গজ জননে 'গিমা (gemma)' ও 'টিউবার (tuber)' কোথায় তৈরি হয় এবং কী ভূমিকা রাখে?,13
Riccia-র যৌন জননে কোন জননাঙ্গে শুক্রাণু এবং কোন জননাঙ্গে ডিম্বাণু উৎপন্ন হয়? শুক্রাণুর বৈশিষ্ট্য কী?,13
Riccia-তে নিষেকের পর স্পোরোফাইট কেমন হয় এবং স্পোর অঙ্কুরিত হয়ে কী গঠন তৈরি করে?,13
Riccia পরিবেশ দূষণের সূচক হিসেবে কীভাবে কাজে লাগে?,14
বিবর্তন অধ্যয়নে Riccia কী ধরনের ধারণা দিতে সাহায্য করে?,14
'Pteridophyta' শব্দটির উৎপত্তি (Pteron+phyton) ও আভিধানিক অর্থ কী?,15
টেরিডোফাইটকে 'ভাস্কুলার ক্রিপ্টোগ্যামস' বলা হয় কেন?,15
স্থলভাগে প্রথম প্রাধান্য বিস্তারকারী উদ্ভিদ কোন গ্রুপ এবং আনুমানিক কত মিলিয়ন বছর আগে?,15
টেরিডোফাইটে প্রধান উদ্ভিদদেহ কোন জনু এবং এটি ডিপ্লয়েড (2n) না হ্যাপ্লয়েড (n)?,16
টেরিডোফাইটের গ্যামিটোফাইট পর্যায়ের নাম কী এবং এটি কেমন প্রকৃতির?,16
অধিকাংশ টেরিডোফাইটে কাণ্ড কোন রূপে রূপান্তরিত হয়?,16
টেরিডোফাইটে পুংগ্যামিট ও স্ত্রীগ্যামিটের চলনশীলতা কেমন এবং কোন জননাঙ্গে উৎপন্ন হয়?,16
টেরিডোফাইটের জীবনচক্রে কী ধরনের জনুঃক্রম (heteromorphic) স্পষ্টভাবে দেখা যায়?,16
Pteris-কে 'সানফার্ন' বলা হয় কেন?,17
বাংলাদেশে Pteris-এর আনুমানিক কতটি প্রজাতি পাওয়া যায় এবং সবচেয়ে বেশি কোনটি জন্মায়?,17
Pteris-এর শ্রেণিবিন্যাসে Grade ও Division কী কী উল্লেখ আছে?,18
Pteris-এর রাইজোম কোন শল্কপত্র দিয়ে আচ্ছাদিত থাকে—তার নাম কী?,19
Pteris-এর কচি অবস্থায় পাতাগুলো কেমন থাকে (শনাক্তকারী বৈশিষ্ট্য অনুযায়ী)?,19
Pteris-এ স্পোরাঞ্জিয়াম কোন আবরণ দিয়ে ঢাকা থাকে?,19
Pteris উদ্ভিদকে টেরিডোফাইট হিসেবে চেনার জন্য যুক্তিগুলো কী?,19
Pteris সাধারণত কোন ধরনের স্থানে জন্মায় ?,20
ফার্নের পাতাকে কী বলা হয় এবং মুকুল অবস্থায় পাতার বিন্যাসকে কী নামে উল্লেখ করা হয়?,21
সারসিনেট ভার্নেশন (circinate vernation) বলতে কী বোঝায় এবং কুণ্ডলিত কচি পাতাকে কী বলে?,21
Pteris-এর কাণ্ড (রাইজোম) কোথায় থাকে এবং এর বৃদ্ধি কেমন বলা হয়েছে?,21
Pteris-এ 'পিনা (pina)' বলতে কী বোঝায় এবং পিনাগুলো সাধারণত কেমনভাবে থাকে?,21
Pteris রাইজোমের অন্তর্গঠনে এপিডার্মিস-হাইপোডার্মিস-কর্টেক্সের বিন্যাস কেমন?,22
হ্যাড্রোসেন্ট্রিক (hadrocentric) ভাস্কুলার বান্ডল বলতে কী বোঝায় ?,22
র‍্যাকিস-এর প্রন্থচ্ছেদে কর্টেক্সে কেমন স্টিলি (stele) দেখা যায় এবং ভাস্কুলার বান্ডল কেমন প্রকৃতির?,22
Pteris পত্রকের প্রন্থচ্ছেদে নিম্নত্বকে কী থাকে (পত্ররন্ধ্র) এবং মেসোফিলে কোন দুই ধরনের প্যারেনকাইমা থাকে?,22
Pteris-এর জীবনচক্রে কোন দুই ধরনের উদ্ভিদ পর্যায় থাকে এবং কোন পর্যায়ে কোন ধরনের জনন ঘটে?,23
Pteris-এ অঙ্গজ জননে রাইজোমের কোন পরিবর্তনের ফলে নতুন স্পোরোফাইট তৈরি হয়?,24
Pteris-এর অযৌন জননে অযৌন জনন কোষ কোনটি এবং এটি কোথায় তৈরি হয়?,25
Pteris-এর পত্রকের নিম্নতলের কিনারা বরাবর যে ক্ষুদ্র গঠন তৈরি হয় তার নাম কী?,25
স্পোরাঞ্জিয়াগুলো গুচ্ছাকারে থাকলে সেই গুচ্ছকে কী বলা হয়?,25
যে টিস্যু হতে স্পোরাঞ্জিয়াম উৎপন্ন হয় তাকে কী বলে ?,25
পিনার কিনারা ভেতরের দিকে বেঁকে সোরাস ঢেকে রাখে—এই অংশকে কী বলা হয়?,25
সোরাস উৎপন্নকারী পাতাকে কী বলা হয়?,25
স্পোরাঞ্জিয়ামের ক্যাপসিউলে 'অ্যানুলাস' কী এবং এর বৈশিষ্ট্য কী?,25
'স্টোমিয়াম' কী এবং স্পোর নির্গমনের সময় এটি কীভাবে কাজ করে?,25
প্রতিটি স্পোরাঞ্জিয়ামে স্পোর মাতৃকোষ কতটি থাকে এবং মায়োসিসে একটি স্পোরাঞ্জিয়াম থেকে কতটি স্পোর তৈরি হয়?,25
Pteris-এর পরিণত স্পোরের বৈশিষ্ট্য লিখ।,25
স্পোরাঞ্জিয়াম শুকিয়ে গেলে অ্যানুলাসের নড়াচড়ায় কীভাবে স্পোর বিস্তার ঘটে ?,25
Pteris-এর গ্যামিটোফাইট 'প্রোথ্যালাস' কেমন আকৃতির এবং এতে আর্কিগোনিয়াম ও অ্যান্থেরিডিয়াম সাধারণত কোথায় থাকে?,25
Pteris-এর যৌন জনন কোথায় সম্পন্ন হয়?,26
প্রোথ্যালাসের কোন অংশে আর্কিগোনিয়াম এবং কোন অংশে অ্যান্থেরিডিয়াম উৎপন্ন হয়?,26
আর্কিগোনিয়ামের দুটি প্রধান অংশ কী এবং উদরে কোন গঠন/কোষ থাকে?,26
আর্কিগোনিয়াম পরিণত হলে গ্রীবা নালিকা কোষ ও উদরীয় নালিকা কোষের কী পরিবর্তন ঘটে?,26
আর্কিগোনিয়ামের নালি পথটি কোন দুই পদার্থ (mucilage ও malic acid) দিয়ে পূর্ণ থাকে?,26
"অ্যান্থেরিডিয়ামের ভেতরে আনুমানিক কতটি অ্যাড্রোসাইট থাকে এবং আবরণে কোন কোন কোষ (ring cell, cover cell) থাকে?",26
Pteris-এর শুক্রাণু (antherozoid) এর আকৃতি/ফ্ল্যাজেলার বৈশিষ্ট্য কী?,26
নিষেকে ম্যালিক অ্যাসিড কীভাবে ভূমিকা রাখে এবং কেন পানির প্রয়োজন হয়?,26
নিষেকের ফলে কী তৈরি হয় এবং তা থেকে নতুন স্পোরোফাইট গঠনের সময় শেষে প্রোথ্যালাসের কী হয়?,26
জীবনচক্র বলতে কী বোঝায়?,27
জনুঃক্রম (alternation of generation) বলতে কী বোঝায়?,27
Pteris-এর স্পোরোফাইটিক জনু কীভাবে শেষ হয় ?,27
Pteris-এর জনুঃক্রমকে 'হিটারোমরফিক' বলা হয় কেন?,27
ডিপ্লোবায়োন্টিক জনুঃক্রম এবং হিটারোবায়োন্টিক জনুঃক্রমের পার্থক্য কী?,27
Pteris-এর অর্থনৈতিক গুরুত্ব/ব্যবহার থেকে যে কোনো তিনটি লিখ।,28
প্রধান উদ্ভিদদেহের ভিত্তিতে Riccia (ব্রায়োফাইট) ও Pteris (টেরিডোফাইট)-এর পার্থক্য কী?,29
পরিবহণ টিস্যু ও সোরাসের উপস্থিতির ভিত্তিতে Riccia ও Pteris-এর পার্থক্য লিখ।,29
শুক্রাণুর ফ্ল্যাজেলার সংখ্যার দিক থেকে ব্রায়োফাইট ও টেরিডোফাইটের পার্থক্য কী?,29
পুষ্পক উদ্ভিদকে কোন নামে ডাকা হয় এবং অপুষ্পক উদ্ভিদকে কোন নামে ডাকা হয়?,0
শৈবাল-ছত্রাককে লোয়ার ক্রিপ্টোগ্যামস বলা হয়—এই নামকরণের ভিত্তি কী?,0
ব্রায়োফাইটা ও টেরিডোফাইটা কেন হায়ার ক্রিপ্টোগ্যামস?,0
গঠনগত জটিলতার দিক থেকে ব্রায়োফাইটা ও টেরিডোফাইটা—কোনটি বেশি উন্নত?,0
অভাস্কুলার ও ভাস্কুলার শব্দ দুটি ব্রায়োফাইটা ও টেরিডোফাইটাকে কীভাবে আলাদা করে?,0
থ্যালোফাইটা ও টেরিডোফাইটার মাঝখানে সংযোগকারী গ্রুপ হিসেবে ব্রায়োফাইটার ভূমিকা কী?,0
প্রচলিত শ্রেণিবিন্যাসে ব্রায়োফাইটা কী ?,1
ব্রায়োফাইটের প্রজাতি সংখ্যা কত?,1
ব্রায়োফাইটের অধিকাংশ প্রজাতি স্থলজ—তবুও নিষেকের জন্য পানি লাগে কেন?,1
বিজ্ঞানী ব্রাউন কোন সালে 'Bryophyta' নামটি ব্যবহার করেন?,1
অনেকের মতে ব্রায়োফাইটা বিভাগে মোট কত প্রজাতি আছে?,1
"বাংলাদেশে ব্রায়োফাইটা বিভাগের কত গোত্র, কত গণ, কত প্রজাতি শনাক্ত হয়েছে?",1
ব্রায়োফাইটের দেহ গ্যামিটোফাইটিক বলা হয় কেন?,2
মসজাতীয় ব্রায়োফাইটে 'নরম কাণ্ড ও পাতার মতো অংশ'—এ কথার অর্থ কী?,2
ব্রায়োফাইটে মূল না থাকলে কোন গঠন দিয়ে সংযোজন/শোষণ হয়?,2
ব্রায়োফাইটের দেহে ভাস্কুলার টিস্যু না থাকলে প্রধান টিস্যু কী?,2
ব্রায়োফাইটের জননাঙ্গ কেন বহুকোষী ও বন্ধ্যাকোষাবরণযুক্ত বলা হয়?,2
আর্কিগোনিয়াম ও অ্যান্থেরিডিয়ামের আকৃতিগত ভিন্নতা কী কী হতে পারে?,2
ব্রায়োফাইটে যৌন জনন 'উগ্যামাস'—এর মানে কী?,2
ব্রায়োফাইটের শুক্রাণুতে কয়টি ফ্ল্যাজেলা থাকে?,2
ব্রায়োফাইটে স্পোরোফাইট গ্যামিটোফাইটের সাথে কীভাবে যুক্ত থাকে?,2
ব্রায়োফাইটা বিভাগের তিনটি শ্রেণির নাম লিখ।,3
ব্রায়োফাইটা নামের গ্রিক উৎসের দুই শব্দ ও তাদের অর্থ কী?,3
ব্রায়োফাইটের 'আদি বৈশিষ্ট্য' হিসেবে হ্যাপ্লয়েড দেহ—এটা কোন পর্যায়ের কথা?,4
ব্রায়োফাইটের আদি বৈশিষ্ট্য হিসেবে 'হোমোস্পোরাস' বলতে কী বোঝায়?,4
ব্রায়োফাইটের আদি বৈশিষ্ট্যের মধ্যে ভাস্কুলার টিস্যু না থাকা কেন গুরুত্বপূর্ণ?,4
Anthoceros-এ ক্যাপসিউলের কোন গঠনকে উন্নত বৈশিষ্ট্য হিসেবে উল্লেখ করা হয়েছে?,5
Anthoceros-এর ক্যাপসিউলে স্টোম্যাটাযুক্ত এপিডার্মিস থাকার গুরুত্ব কী ইঙ্গিত করে?,5
ক্যাপসিউলের গোড়ায় ভাজক টিস্যুর অবস্থান—এটিকে উন্নত বৈশিষ্ট্য বলা হয় কেন?,5
ব্রায়োফাইটকে উভচর উদ্ভিদ বলা হয় ?,6
ব্রায়োফাইটে শুক্রাণু কীভাবে ডিম্বাণুর কাছে যায়?,6
ব্রায়োফাইট জলজ উদ্ভিদের মতো কোন দুটি বৈশিষ্ট্য দেখায়?,6
স্থলজ পরিবেশে থেকেও ব্রায়োফাইটের জীবনচক্রের কোন ধাপ পানিনির্ভর?,6
Riccia কোন শ্রেণির অন্তর্গত গণ?,7
Riccia গণে মোট প্রজাতির সংখ্যা আনুমানিক কতটি?,7
Riccia-র মধ্যে কোন প্রজাতিটি ভাসমান জলজ হিসেবে উল্লেখ আছে?,7
Hepaticae শ্রেণির সদস্যদের 'লিভারওয়ার্ট' বলা হয় কেন?,7
বাংলাদেশে Riccia গণের কতটি প্রজাতি শনাক্ত হয়েছে?,7
বাংলাদেশে শনাক্ত নতুন Riccia প্রজাতির মধ্যে যেকোনো তিনটির নাম লিখ।,7
Riccia সাধারণত কোন কোন আবাসস্থলে জন্মায়—কমপক্ষে ৪টি উল্লেখ কর।,8
Riccia thalli বর্ষার পরে কেন বেশি দেখা যায়—আবাসস্থল থেকে যুক্তি দাও।,8
Riccia fluitans ছাড়া Riccia প্রজাতিগুলো সাধারণত কী প্রকৃতির (স্থলজ/জলজ)?,8
Riccia-র একটি সাধারণ জন্মস্থান হিসেবে 'ভেজা মাটি' উল্লেখ আছে—আরো দুটি স্থান লিখ।,8
Riccia-র শ্রেণিবিন্যাসে Division ও Class কী?,9
Riccia-র শ্রেণিবিন্যাসে Order ও Family কী?,9
Riccia-র শ্রেণিবিন্যাসে Genus পর্যন্ত পুরো ক্রমটি লিখ।,9
"Riccia শনাক্ত করার জন্য থ্যালাসের রঙ, অবস্থান ও পৃষ্ঠের প্রকৃতি কী?",10
Riccia থ্যালাসের শাখাবিন্যাস কেমন এবং শাখার মাথায় কী থাকে?,10
Riccia-র রাইজয়েড কয় ধরনের এবং তাদের নাম কী?,10
Riccia-তে স্কেল/শল্ক কোথায় থাকে এবং এটি কেমন (বহুকোষী/এককোষী)?,10
Riccia-র অভ্যন্তরীণ টিস্যু কোন দুই অঞ্চলে বিভক্ত—নাম লিখ।,10
Riccia-র স্ত্রী ও পুং জননাঙ্গের নাম কী এবং স্পোরোফাইটের স্পোর প্রকৃতি কী?,10
Riccia থ্যালাস একত্রে গোলাপের পাপড়ির মতো চক্র করলে তাকে কী বলা হয়?,11
Riccia থ্যালাসের মধ্যশিরা বরাবর যে খাঁজ থাকে তার নাম কী?,11
অগ্রন্থ খাঁজ (apical notch) কোথায় থাকে এবং কেন গুরুত্বপূর্ণ?,11
Riccia-তে স্কেল ও রাইজয়েডের কাজ দু'টি লিখ।,11
Riccia-র স্পোরোফাইটকে 'সর্বাপেক্ষা সরল' বলা হয়—কেন? (গঠন ও অবস্থান উল্লেখ কর),11
Riccia থ্যালাসের প্রন্থচ্ছেদে তিনটি অঞ্চল কী কী?,12
আত্তীকরণ অঞ্চলকে photosynthetic zone বলা হয় কেন?,12
আত্তীকরণ সূত্র (assimilatory filament) কী এবং এর কাজ কী?,12
বায়ু প্রকোষ্ঠ (air chamber) কোথায় থাকে এবং বাইরে কোন পথে যুক্ত?,12
বায়ুছিদ্র (air pore) বলতে কী বোঝায়?,12
Riccia-র উর্ধ্বত্বক (upper epidermis) কীভাবে গঠিত—কোষের বৈশিষ্ট্যসহ লিখ।,12
সঞ্চয়ী অঞ্চলের কোষগুলো কেমন (রঙ/ফাঁক) এবং কী সঞ্চিত থাকে?,12
নিম্নত্বক থেকে কোন দুটি গঠন বের হয়?,12
Riccia-র অঙ্গজ জননে থ্যালাসের কোন অংশ মরে গিয়ে নতুন উদ্ভিদ তৈরি হয়?,13
গিমা (gemma) কোথায় তৈরি হতে পারে এবং কী কাজ করে?,13
টিউবার (tuber) কোথায় তৈরি হয় এবং কেন এটি অঙ্গজ জননে সহায়ক?,13
Riccia-র অ্যান্থেরিডিয়ামে কেমন শুক্রাণু উৎপন্ন হয়?,13
Riccia-র নিষেকের পর স্পোরোফাইট কোথায় সীমাবদ্ধ থাকে?,13
Riccia-র স্পোর অঙ্কুরিত হলে কী তৈরি হয়?,13
Riccia মাটিতে জৈব পদার্থ সংযোজনে কীভাবে ভূমিকা রাখে?,14
Riccia পরিবেশ দূষণের সূচক হিসেবে ব্যবহৃত হয়—মানে কী?,14
বিবর্তন ধারা বোঝার ক্ষেত্রে Riccia কী ধরনের ধারণা দিতে সাহায্য করে?,14
Pteridophyta শব্দের গ্রিক উৎসে 'Pteron' ও 'phyton'—এদের অর্থ কী?,15
টেরিডোফাইটাকে ফার্নবর্গীয় উদ্ভিদ বলা হয় কেন?,15
টেরিডোফাইটকে ভাস্কুলার ক্রিপ্টোগ্যামস বলার কারণ কী?,15
টেরিডোফাইটের প্রজাতি সংখ্যা কত?,15
বাংলাদেশে টেরিডোফাইটের কত গোত্র ও কত প্রজাতি নথিভুক্ত আছে?,15
টেরিডোফাইটের প্রথম স্থলভাগে প্রাধান্য বিস্তার কবে (প্রায় কত মিলিয়ন বছর আগে)?,15
টেরিডোফাইটে প্রধান দেহ কোন পর্যায় (গ্যামিটোফাইট/স্পোরোফাইট) এবং প্লয়েডি কত?,16
টেরিডোফাইটের গ্যামিটোফাইট পর্যায়ের নাম কী এবং এর প্রকৃতি কেমন?,16
টেরিডোফাইটে দেহকে কোন তিন ভাগে বিভক্ত করা যায়?,16
টেরিডোফাইটে স্পোর সম বা অসম আকার হতে পারে—এই দুই ধরনের নাম কী?,16
টেরিডোফাইটে পুংগ্যামিট কোথায় উৎপন্ন হয় এবং এর চলনশীলতা কেমন?,16
টেরিডোফাইটে স্ত্রীগ্যামিট কোথায় উৎপন্ন হয় এবং এটি কেমন?,16
Pteris-কে সানফার্ন বলা হয়—কোন কারণে?,17
বাংলাদেশে Pteris-এর আনুমানিক কতটি প্রজাতি আছে?,17
বাংলাদেশে সবচেয়ে বেশি যে Pteris প্রজাতি জন্মায় তার নাম কী?,17
Pteris-এর শ্রেণিবিন্যাসে Division ও Class কী?,18
Pteris-এর শ্রেণিবিন্যাসে Order ও Family কী?,18
Pteris কোন Grade-এর অন্তর্গত?,18
Pteris-এর রাইজোম কী নামে শল্কপত্র দিয়ে আচ্ছাদিত থাকে?,19
Pteris-এর কচি পাতা কেমন থাকে এবং এই বৈশিষ্ট্যের নাম কী (ধারণা অনুযায়ী)?,19
Pteris-এ স্পোরাঞ্জিয়া কোথায় সোরাস তৈরি করে?,19
Pteris-এর স্পোরাঞ্জিয়াম কোন আবরণ দ্বারা ঢাকা থাকে?,19
Pteris প্রোথ্যালাসের আকৃতি ও প্রকৃতি কী ?,19
Pteris-এ রাইজোমের নিচ থেকে কী বের হয়?,19
Pteris কেন ছত্রাক/শৈবাল/মস/বীজী উদ্ভিদ নয়?,19
প্রাচীর/ইটের স্তূপে জন্মায় বলে Pteris-কে কী বলা হয়?,20
Pteris গণে আনুমানিক মোট কতটি প্রজাতি আছে?,20
ফার্নের পাতাকে কী বলা হয়?,21
ভার্নেশন বলতে কী বোঝায়?,21
সারসিনেট ভার্নেশন বলতে কী বোঝায়?,21
ক্রোজিয়ার (crozier) কী?,21
পিনা (pina) কী এবং পিনাগুলো সাধারণত কীভাবে অবস্থান করে?,21
র‍্যাকিস (rachis) বলতে কী বোঝায়?,21
শীর্ষক পিনা কেমন (দৈর্ঘ্য) হিসেবে উল্লেখ আছে?,21
রাইজোমের অন্তর্গঠনে এপিডার্মিসের পর কোন দুটি স্তর থাকে?,22
রাইজোমের ভাস্কুলার বান্ডলকে হ্যাড্রোসেন্ট্রিক বলা হয় কেন?,22
